Date,Open,High,Low,Close,Volume
2021-09-22,33.76325312015955,34.07025979110317,33.64044986621,33.73255157470703,22616700
2021-09-23,33.985821223602116,34.32353226072556,33.88604562432436,33.916744232177734,19719200
2021-09-24,33.82464348961735,34.08560069468517,33.625089357675925,33.7248649597168,16150700
2021-09-27,33.709522457016334,33.870704099565046,33.39483894973231,33.44089126586914,19955900
2021-09-28,33.057131903194566,33.21831062351382,32.56591889201558,33.03410720825195,28512200
2021-09-29,33.17225335402938,33.53298617650544,33.06480089934035,33.41018295288086,18037200
2021-09-30,33.60974626919832,33.80930044673774,32.980379265141245,33.011077880859375,21103300
2021-10-01,32.63499302317921,33.080153677306775,32.00562604219388,32.949676513671875,38483000
2021-10-04,32.94967632756858,33.27203373792367,32.397060277976756,32.5582389831543,28906500
2021-10-05,32.64266980909773,32.84222692469216,32.450789543720276,32.48149108886719,19342600
2021-10-06,32.28193368930913,32.38938615877206,31.997948816745417,32.2512321472168,30483800
2021-10-07,32.63499271257737,32.972700892765545,32.397060152621485,32.80384826660156,19778300
2021-10-08,32.7961694221824,32.93432342564206,32.496836723973146,32.58126449584961,12778600
2021-10-11,32.58126168853096,32.71173883174491,32.2435506301235,32.28192901611328,11984200
2021-10-12,32.35868681755153,32.397062283846935,31.97492629887665,32.12075424194336,16222300
2021-10-13,32.04399564367447,32.1667988631586,31.422302698115008,31.790712356567383,28205700
2021-10-14,31.898183917826927,32.20519065835561,31.8674823654157,31.982608795166016,17590300
2021-10-15,32.159127735144516,32.25890334673499,31.760016505202746,31.844444274902344,23550300
2021-10-18,31.813739175869557,32.0056193844962,31.499055750836245,31.713960647583008,21733000
2021-10-19,31.928879313547867,32.38939376956285,31.882829917448994,32.30496597290039,17159800
2021-10-20,32.32798476064318,33.08783186382671,32.3126339887964,32.84989929199219,22788300
2021-10-21,33.049451269471845,33.072475959738824,32.56591227884598,32.89594650268555,22142300
2021-10-22,32.86524819351224,33.14923013686561,32.719420261057294,33.12620544433594,17183000
2021-10-25,33.15690191637523,33.187603453627126,32.673362952166954,33.118526458740234,22846200
2021-10-26,33.2566790257197,33.586710289549025,32.94199267414035,33.43320846557617,29729100
2021-10-27,33.356456976813035,33.433210822068965,32.7577916231159,32.98037338256836,22317500
2021-10-28,32.965026314017535,33.51763942259488,32.957349464700265,33.14155578613281,18023400
2021-10-29,33.07248311777227,33.64044999945135,32.89595362251188,33.571372985839844,30307500
2021-11-01,33.87836254562197,33.99349181944144,33.3410974808962,33.49460220336914,32681500
2021-11-02,34.599849065922825,35.336668544117614,33.0417794008226,34.88383102416992,69248000
