Date,Open,High,Low,Close,Volume
2021-09-22,131.7950616505684,134.86091475595103,131.7950616505684,132.69081115722656,457700
2021-09-23,133.4018829010133,135.30419177762997,132.93091336016977,133.3372344970703,389600
2021-09-24,132.94933848275681,134.039004693283,131.8411992933603,131.94277954101562,226700
2021-09-27,132.09980901368218,134.88863794833273,132.09980901368218,134.26991271972656,201100
2021-09-28,134.27915138984184,135.97829959553542,131.9889804092025,134.75010681152344,263200
2021-09-29,136.68007957885766,137.08640057702186,132.92163852734774,133.61422729492188,315500
2021-09-30,134.703926932688,135.63662238908225,131.15787494505713,131.5180206298828,455100
2021-10-01,131.51798986426513,133.4110686737661,128.932322277441,132.29368591308594,299500
2021-10-04,133.2079266404132,134.9809524652908,131.8873972854614,132.02590942382812,334500
2021-10-05,131.84126180876427,134.1498920858419,130.41913766725827,132.72776794433594,247900
2021-10-06,130.60378776609892,131.23174234833155,128.3782795270682,130.3729248046875,292300
2021-10-07,132.32145032235752,134.19607112129836,131.5642268982918,131.73968505859375,261900
2021-10-08,131.85046625598562,132.52458222365476,130.66844890551442,130.8069610595703,186800
2021-10-11,132.47844403138984,134.90711346470619,132.3768637370926,132.99557495117188,302300
2021-10-12,133.14330109997536,134.5007766519788,132.74622350800277,133.05096435546875,222800
2021-10-13,133.43878967039984,134.2791342189639,131.57341302509724,133.68812561035156,237300
2021-10-14,136.65244094856251,137.93603883338878,134.80553670617874,135.06410217285156,371600
2021-10-15,135.8305387673913,138.02835883367794,135.77513390702407,136.2830352783203,318100
2021-10-18,134.9348120383562,137.8621534110788,133.78049695018038,137.19728088378906,428100
2021-10-19,137.29883716685617,137.8713869909512,135.71974213112088,136.27381896972656,300200
2021-10-20,135.56273851796607,138.91485925362383,134.84244718033665,137.92677307128906,266600
2021-10-21,135.66432395992916,137.05873127629042,134.23297067621274,137.00332641601562,320400
2021-10-22,138.14841878451713,139.27503130242502,137.54816655635645,137.8621368408203,210900
2021-10-25,138.66553983526205,141.86991903586826,138.2222727806353,141.14962768554688,276000
2021-10-26,140.8356661732115,141.7406593217779,139.19192266197203,139.57054138183594,231400
2021-10-27,138.00988601248443,139.25655173524703,132.91242749132704,132.95860290527344,415800
2021-10-28,132.1644208424393,135.73818899116216,131.8135187302357,133.24485778808594,453300
2021-10-29,133.7989679240896,136.56009464614058,133.7989679240896,134.9717559814453,421900
2021-11-01,136.90172077561522,138.10221085857776,133.66041023329618,137.79747009277344,436400
2021-11-02,137.1326092254314,139.10879575770966,137.1326092254314,138.9425811767578,440800
