Date,Open,High,Low,Close,Volume
2021-09-22,295.8066267816002,300.23313871301696,295.70162773798137,298.9471740722656,1335900
2021-09-23,297.687389021812,301.6152547717348,297.52990383844246,301.1078796386719,1366200
2021-09-24,305.2807087383352,308.7536857338043,304.0035008849407,305.7618408203125,1693000
2021-09-27,308.05394847508563,312.5154341086995,307.33660172806435,309.1211853027344,1866000
2021-09-28,309.1210369381847,310.8269171183639,306.1117327378972,308.0625305175781,1140100
2021-09-29,304.5459036209166,308.4387702963048,301.7815163023157,306.43548583984375,1547700
2021-09-30,307.52025439900046,308.1938447559858,301.7202919624825,301.895263671875,1054300
2021-10-01,303.8285866683825,305.901870685335,299.85696365331717,304.2572326660156,960400
2021-10-04,304.16094623757664,306.4179313438217,300.6704829034441,302.67376708984375,1127400
2021-10-05,302.68253118541065,306.5754241294286,301.6502676886312,304.21343994140625,889400
2021-10-06,303.5836492536301,306.30430732385895,301.1079622698844,306.1730651855469,995700
2021-10-07,306.3304684129109,310.10087570181196,306.3304684129109,307.7388916015625,1042600
2021-10-08,308.00131374887934,310.6957279337827,306.88156448548443,309.4622497558594,768500
2021-10-11,310.46829766595613,314.3436775148598,309.7859508151403,312.3753662109375,996800
2021-10-12,312.2878924517529,315.2622240546577,311.43933055033983,313.28515625,840200
2021-10-13,314.5973261322187,317.02055273167764,309.1997949821943,316.46942138671875,1102100
2021-10-14,316.6969663784358,318.5690623061001,315.2447865543342,316.74072265625,973300
2021-10-15,318.5164974521585,320.38856622045927,318.0003657193809,319.84619140625,952700
2021-10-18,318.7177628195806,321.8233372592558,316.57450612430296,319.30389404296875,1014600
2021-10-19,320.6160867035736,324.71016838845867,318.12288669268554,324.61395263671875,1051300
2021-10-20,325.23503031392517,325.92613379958755,323.50290665134315,324.6664123535156,955200
2021-10-21,325.1038099811765,326.5297465060203,321.1759437895489,326.4247741699219,803600
2021-10-22,327.11580375988086,329.81894781219705,325.64613787264784,327.7019348144531,1092000
2021-10-25,328.8479593894606,330.76378452552615,327.71069684143714,329.2153625488281,1350300
2021-10-26,304.7208203173019,307.23153314557004,285.1864360027793,290.3565368652344,9439700
2021-10-27,291.3100919363474,294.31066695653607,289.15807891249926,289.50799560546875,2822900
