Date,Open,High,Low,Close,Volume
2021-09-22,207.41052758494115,208.274853460976,205.14276902059848,206.89707946777344,2285900
2021-09-23,208.3775797977077,209.80669756654314,207.47047620078268,207.66729736328125,2038600
2021-09-24,206.52055094148713,207.7870720152175,205.70758159803577,206.61468505859375,1901400
2021-09-27,205.59633869330966,207.3848739480557,203.5596257277386,204.16722106933594,2588400
2021-09-28,202.72952251394037,203.1231778278204,199.27225813674028,199.7686004638672,3173900
2021-09-29,200.7356219380607,203.34567939386682,200.08523600542583,201.83099365234375,2655500
2021-09-30,201.85670232122877,201.85670232122877,195.22456135715373,195.77224731445312,5425400
2021-10-01,196.18299972350874,196.38838684498768,191.56190048206517,195.47271728515625,3476400
2021-10-04,195.0533617635607,195.96903119017003,190.73178440412718,193.3076171875,3816400
2021-10-05,194.30887534503393,196.4054848611547,193.11081649521122,194.73675537109375,2407300
2021-10-06,193.53012168924081,194.71962758482692,192.35773465011349,194.11204528808594,2789100
2021-10-07,195.58394229839186,198.10843157951766,195.45557046913143,196.67076110839844,2352000
2021-10-08,196.86758517668872,198.296702770292,195.38712407376067,195.88345336914062,2004900
2021-10-11,195.601057124799,197.8944875123037,195.40422293555966,195.7294158935547,1998600
2021-10-12,196.82481003225593,198.02286887017704,195.54116996682816,197.0301971435547,2167400
2021-10-13,198.10841116658486,202.61826936640495,197.26977014484487,202.6011505126953,3984700
2021-10-14,204.3554693348811,208.63426888938923,202.15616009609113,207.17091369628906,4281700
2021-10-15,208.20639895095326,211.67222936842137,207.22226717135285,210.26878356933594,3626900
2021-10-18,209.61839809284072,217.14053539990195,209.26753337786084,217.06350708007812,4365800
2021-10-19,217.81656190575632,219.8875123128709,215.48034108211354,215.8140869140625,3204800
2021-10-20,217.62830821632951,217.9962917805564,215.061028396752,215.5060272216797,2209300
2021-10-21,215.32632680520476,217.56842688229844,215.13805856076496,217.54275512695312,1758400
2021-10-22,218.629589516675,220.28121332110405,217.86796354014868,219.01467895507812,2205700
2021-10-25,219.77627236158986,223.35334261539683,219.16012416491856,222.79710388183594,2488400
2021-10-26,223.69563089193662,223.78977806037645,220.36673848707758,221.4107666015625,2439700
2021-10-27,221.59047014400173,221.97557254450533,218.83492222698445,219.53665161132812,2269700
2021-10-28,221.00857242710322,222.62594514791346,220.38385826368744,220.97433471679688,1735200
2021-10-29,219.51099289276905,222.30931852456573,219.51099289276905,222.17239379882812,2417800
2021-11-01,223.82400757389547,224.03794756435636,220.34962421806833,220.71762084960938,1718100
2021-11-02,221.6675290074336,223.52453984288002,221.24821493183023,222.72012329101562,2228000
2021-11-03,221.38513783529132,223.05385428185414,219.69072351584845,222.84848022460938,2397300
2021-11-04,223.06239848838104,224.64555966719877,222.0012644751229,222.87413024902344,3031000
2021-11-05,223.3533621514226,223.55873619636958,216.3446855946546,217.59410095214844,4060300
