Date,Open,High,Low,Close,Volume
2021-09-22,430.9067444480003,431.5227258562384,426.3010405555107,428.6607360839844,1380800
2021-09-23,428.6322954718099,431.7122313503866,427.4951057305847,429.0871887207031,2061200
2021-09-24,432.1198280014691,444.193169499291,431.19109830137626,443.27392578125,3353800
2021-09-27,441.1890216441791,445.87052717782996,433.3138636828993,436.46014404296875,2526000
2021-09-28,433.2190681064773,433.5602163620196,422.3492621809676,423.94134521484375,2632700
2021-09-29,426.3294731944402,432.1387109314181,425.41022960427233,428.1490173339844,1922000
2021-09-30,429.883221334998,431.53216233207934,425.7892689415499,425.836669921875,1836400
2021-10-01,426.19672912809676,427.4760637623755,417.6961063385384,424.8699645996094,1860700
2021-10-04,424.8795718280731,425.8367305028872,413.3464113466129,417.1086730957031,2264000
2021-10-05,416.5779014219193,425.6092199835079,416.26518219454107,422.889404296875,1808700
2021-10-06,420.70032730374214,426.24421828448817,419.2314462130811,425.8272399902344,1334600
2021-10-07,432.5841124926514,435.5408463747043,428.4143588405084,429.1724853515625,1966200
2021-10-08,431.6080127573721,431.90178895073905,426.4526714818049,428.20587158203125,1545800
2021-10-11,426.490570681216,429.94956977093625,426.01673439712636,426.1683654785156,1011700
2021-10-12,426.5948459085059,429.15357368153,422.4250919515598,423.4864807128906,1380900
2021-10-13,425.0691365532902,426.93605299762197,420.83303827202366,421.9986572265625,1621500
2021-10-14,423.71393056952877,428.06377374921334,423.13586409960385,427.07818603515625,1480400
2021-10-15,430.13912974779794,430.18650180946855,425.67557098460156,428.7176208496094,1494800
2021-10-18,426.0830093916376,438.1563764398795,425.0311068218924,437.7773132324219,2141300
2021-10-19,438.7724546899739,442.7147765438465,436.2232128447518,442.6389465332031,1365300
2021-10-20,444.00361100791207,447.7753588334446,443.35920050124105,445.1882019042969,1352900
2021-10-21,445.18821404977297,452.65587989162117,444.53431754347514,452.25787353515625,1423300
2021-10-22,453.9257501303035,459.6497014976496,453.5277437806483,456.7687683105469,1710300
2021-10-25,456.7687059005658,466.4539210014288,454.40901038799416,464.454345703125,1903400
2021-10-26,456.90136277676027,462.701114049054,456.0484632815413,460.1234436035156,2378600
2021-10-27,458.53137526727903,465.78106458812783,458.2565421262956,463.51611328125,1741800
2021-10-28,462.2252504449105,466.8478780779963,461.7696501979298,465.6139221191406,1362400
2021-10-29,462.0543726898845,469.06901706951317,461.9404726349583,466.5726013183594,2471600
2021-11-01,469.04999106087774,469.7524229770485,462.4530288235492,466.88580322265625,1548700
2021-11-02,469.610014732327,474.1187417687686,467.6926296630097,471.7457275390625,2012200
2021-11-03,475.87480973230026,477.41251842059586,470.5687530379824,476.81451416015625,1856000
2021-11-04,481.2568261119149,493.7863538471385,480.3076203431089,489.4294738769531,2615000
2021-11-05,488.62263959009385,491.5936580832889,482.7945026535774,487.0564270019531,2071700
2021-11-08,487.3316815407321,487.3316815407321,474.79271110092924,478.2193298339844,2834800
2021-11-09,479.4628076868668,483.24065703073757,478.456651901118,482.8704528808594,1881800
2021-11-10,482.44335430783593,484.4366633350628,478.1814005226405,479.8330383300781,1226600
2021-11-11,480.4880131580884,486.46799842985035,478.4377250447079,486.16424560546875,1227300
2021-11-12,488.1290617229648,493.26423938944316,487.160853309298,490.9007263183594,1780200
2021-11-15,492.1536632841875,496.52948773825716,491.6980630788809,493.4825744628906,1392300
2021-11-16,493.43503430966103,501.46527611444293,491.12841386051247,499.96551513671875,1690700
2021-11-17,500.70596321816686,503.7813801492004,497.8678476915021,499.5574035644531,1609400
2021-11-18,501.332458309882,503.83837526870667,495.9504781988186,502.48101806640625,1664200
2021-11-19,506.95178988206266,508.09084829422653,501.1901044058351,506.6764831542969,1909800
