Date,Open,High,Low,Close,Volume
2021-09-22,152.13174617297332,153.99600892493484,150.842977905375,153.46104431152344,1776500
2021-09-23,154.20677743642403,157.33549362577983,154.13383107507215,156.82484436035156,1495600
2021-09-24,156.86537571525005,160.9262173191525,156.29799450831499,160.4966278076172,1889300
2021-09-27,160.85326581641942,163.5361780125987,160.0913486337498,160.83705139160156,1687800
2021-09-28,162.2879469053627,162.91207242591094,158.51890306367838,160.3993682861328,1873100
2021-09-29,160.05086179787241,160.5128678658767,158.82692603319026,158.9971466064453,1027600
2021-09-30,159.76709940351617,160.08321259442647,156.48437788684464,156.74375915527344,1392900
2021-10-01,157.465192077785,159.8725210652975,155.30913103712004,159.3456573486328,1254400
2021-10-04,158.9241843761386,160.4966374244408,155.92514627638553,157.82183837890625,1384300
2021-10-05,156.88967767581514,161.6962340159914,156.75998702024623,160.74789428710938,989800
2021-10-06,159.88062153381236,161.1693901155028,159.28892485124723,161.07212829589844,946500
2021-10-07,162.70132486169678,163.9414625278494,161.89889011770572,163.81988525390625,1465700
2021-10-08,163.07420903594456,164.00633460277024,160.78845696928076,163.34979248046875,1170300
2021-10-11,164.27378269008636,165.65171199275775,162.87153793374296,163.17955017089844,929300
2021-10-12,163.1795138002373,165.18966918630758,162.855287210239,164.38722229003906,1077000
2021-10-13,163.56050611075997,165.927317597855,161.7043562850398,165.56256103515625,1540300
2021-10-14,165.69222930065686,167.96986732033832,164.71147309567468,167.823974609375,1314500
2021-10-15,168.59399450337932,172.33062151088984,168.20493490217564,171.755126953125,1746600
2021-10-18,171.06614306758252,173.7490547364958,170.7662319233132,173.4005126953125,1524800
2021-10-19,174.08136563119604,176.4076340086043,173.38429398378042,176.34278869628906,1663700
2021-10-20,176.5292885842037,176.5292885842037,172.695399027617,173.59510803222656,1080400
2021-10-21,174.365092814684,175.07837905748718,173.2222294621693,174.0976104736328,1204700
2021-10-22,174.2678665580197,177.24257702859614,173.75721722383892,176.6589813232422,1184600
2021-10-25,176.69947959321857,177.20201543981202,175.60523474946226,176.44821166992188,1021200
2021-10-26,176.5049160062108,178.66907753465736,175.6052072927685,177.72885131835938,1331900
2021-10-27,177.91530029291587,177.94771677360845,175.2729180531119,175.93756103515625,1526700
2021-10-28,175.37825616847343,177.51000123697247,174.69739885807152,176.97503662109375,1726600
2021-10-29,176.56978205053565,179.47964654557703,176.10777609912466,178.76637268066406,1318300
2021-11-01,179.65796243926903,179.65796243926903,175.48364511242463,176.96694946289062,803400
2021-11-02,177.1047291039328,179.43099778932918,176.53734800602888,178.806884765625,984300
2021-11-03,179.27698260252689,180.31449531631608,177.242511780412,178.67718505859375,753500
2021-11-04,186.53951540937004,187.14742640671108,177.66401732178704,178.78257751464844,1858500
2021-11-05,181.64384409171555,182.01668931203713,178.87175855427918,179.70663452148438,1364100
2021-11-08,180.63061792844093,180.97104658766278,177.91527731381694,178.86361694335938,757000
2021-11-09,178.59617791216561,179.90927433649242,177.57489168700775,179.72283935546875,753600
2021-11-10,179.7390343501511,181.44119024271174,178.42595043576443,179.1959686279297,970000
2021-11-11,179.56072307238517,180.63065252168607,178.628597686571,180.3550567626953,1005400
2021-11-12,180.30640160640775,182.49487875077517,179.68227617825008,182.25172424316406,1630100
2021-11-15,181.9113130722334,183.8323205737198,181.55468227983985,183.73504638671875,1496700
2021-11-16,184.21324693139266,184.8211579297702,182.66509728720905,182.90826416015625,1210800
