Date,Open,High,Low,Close,Volume
2021-09-22,286.0435345039486,289.0528477598576,285.6883937282851,286.0341796875,1334000
2021-09-23,288.6603716031698,291.44539796472566,288.36130262727374,290.0622253417969,1066900
2021-09-24,288.0529130307456,290.7631579413461,287.66973624547484,289.9594421386719,926200
2021-09-27,290.1743356237896,291.8565770286714,288.28651640756584,288.97808837890625,1021600
2021-09-28,285.5482452311242,285.66974377508046,278.71654752501723,280.3052978515625,2278000
2021-09-29,280.0623065162253,280.84734105860053,278.80063265424326,279.5669860839844,1197700
2021-09-30,279.70717483473027,280.80060463546346,274.1090869136671,274.1838684082031,2084800
2021-10-01,276.2025067181376,279.00621347931025,273.41748106789197,278.3613586425781,1597400
2021-10-04,277.08103534741133,278.47353407076434,272.8941558396498,275.3707580566406,1495200
2021-10-05,275.5389747924589,280.0529591827115,274.9969373037576,278.3426818847656,1359900
2021-10-06,274.61377899051496,276.8567391105861,271.277360481987,276.6791687011719,2050200
2021-10-07,278.05295600618814,282.5949761344204,277.9875578525958,279.5856628417969,1375800
2021-10-08,280.0435366016214,280.6603554351668,276.3426521211252,276.8099365234375,909400
2021-10-11,276.2212613038295,278.66982796324675,275.41754550847963,275.5483703613281,748800
2021-10-12,276.3707872194263,277.6511423778902,274.95957869138584,276.45489501953125,1063900
2021-10-13,279.2212148177862,282.36138199416735,278.38010828652256,281.29595947265625,1430000
2021-10-14,284.43611502661196,288.9127090602538,283.77257894271315,288.56689453125,1126400
2021-10-15,288.32388508096807,289.28648998931817,286.5201452741835,288.071533203125,1230500
2021-10-18,287.17438942966606,288.34260079458767,285.7631809741894,287.8192443847656,1010600
2021-10-19,287.88471131169484,290.64167340585465,286.88471539853674,290.3519592285156,984800
2021-10-20,290.7911407073609,291.5855300671491,289.9126435594703,290.8565673828125,745300
2021-10-21,290.8098795024638,291.21173737062213,288.2304596588694,290.9407043457031,856900
2021-10-22,292.5575211319847,294.3799137774836,292.37995072005805,293.5948791503906,1214800
2021-10-25,294.454616862169,296.98729048090433,293.4172305992412,295.9592590332031,1225400
2021-10-26,297.0434528588118,298.23034540241986,295.9593492309112,296.04345703125,1069800
2021-10-27,298.5948383224699,300.3892236089529,296.03412802188035,298.0995178222656,1536000
2021-10-28,295.74439868748607,297.61353685957755,294.96869037442843,297.15557861328125,1565000
2021-10-29,296.85655805241953,301.6041567781794,296.11824043920234,298.3144836425781,1890800
2021-11-01,300.3891675579734,303.09941183678524,299.51067045424537,301.8377380371094,1367700
2021-11-02,305.7255976125438,307.23024019013377,304.6882110693131,306.1368103027344,2012300
2021-11-03,308.3050476862127,308.55737110322656,304.01534995145585,306.921875,1856300
2021-11-04,307.84700036953245,309.9310993545128,306.8563595836839,309.8096008300781,1628200
2021-11-05,309.7909672908185,310.8470063882536,309.0246138042254,310.267578125,1693200
2021-11-08,313.38906582143744,315.7909154225544,313.1367424141526,315.44512939453125,1448700
2021-11-09,317.7348044076604,317.90301999618356,315.4450987654403,316.4637756347656,1813000
2021-11-10,315.575919030562,316.4824520791345,313.5572466176341,314.5946044921875,1540100
2021-11-11,315.49189739972184,315.6788226713889,313.67885916435324,313.6975402832031,924900
2021-11-12,315.67878758782086,315.67878758782086,313.6040427943823,314.968505859375,1044100
2021-11-15,314.69748581760575,314.69748581760575,310.9872450844184,312.15545654296875,1274900
2021-11-16,312.0993290498597,313.37968401691006,311.08997855792546,311.1834411621094,1604300
2021-11-17,312.4638391260308,312.5479469251353,309.4078083420882,309.7909851074219,1304600
2021-11-18,309.7722705155696,310.05265836221844,307.6321277796485,309.3423767089844,1762900
2021-11-19,310.1087123021768,311.43578439560065,308.8470383671502,310.4544982910156,2067000
2021-11-22,310.9965072550917,312.4918233178624,308.1647644042969,308.1647644042969,955500
2021-11-23,307.454495670422,309.7722083545635,307.04328306114905,308.6413879394531,986800
2021-11-24,304.0340265187316,306.81902418399443,303.5854230831577,305.8377380371094,1327400
2021-11-26,302.0339374364688,303.2395391722802,298.25830002570996,299.5947265625,1319000
2021-11-29,300.463943700138,301.538692382467,297.7723803254397,299.753662109375,1857200
2021-11-30,299.3985380076461,299.7910695720025,295.1369052670179,297.3238220214844,3243900
2021-12-01,300.650903967631,304.49196944588084,297.41727420588415,297.4640197753906,2459500
2021-12-02,300.0613667052469,304.4591434003072,299.4987459194582,303.8121337890625,2183900
2021-12-03,304.9186453552787,306.62525148215315,298.42983342843206,300.7178039550781,2566700
2021-12-06,304.89991966950186,306.0907781511375,303.3058318987942,304.77801513671875,1672900
2021-12-07,310.05717660256835,311.8012696293649,309.4289105002628,310.04779052734375,1797500
2021-12-08,313.09537982922416,313.2172843782145,310.22604435334085,312.42962646484375,1370100
2021-12-09,310.4228713620952,313.18907372919074,309.90715229789686,311.42620849609375,1086500
2021-12-10,312.22326542540804,313.9767446568024,312.0544877554106,313.1890869140625,1116600
2021-12-13,312.8890774659978,314.59568387080395,310.76991288455775,313.3673095703125,1016800
2021-12-14,314.3049381421587,315.12072548515795,312.2701342064687,313.6579284667969,1631400
2021-12-15,315.2427238179843,320.13747794867703,313.7705402857356,320.090576171875,1445100
2021-12-16,319.65917694316494,321.9190179547603,317.4837247723237,318.82464599609375,1449500
2021-12-17,317.0617243693646,317.86812555991645,312.36387942080125,313.0296325683594,2791400
2021-12-20,309.77582935116106,310.0665401172246,306.6345849164406,309.73834228515625,1621800
2021-12-21,309.81344280237846,313.19852593086085,309.04452846541585,312.1483154296875,1051900
2021-12-22,311.4450942412496,314.6332419283962,310.78869826914837,314.455078125,923400
2021-12-23,314.4549972325161,319.4153955986337,314.3330927019631,318.0369873046875,1151900
2021-12-27,320.5312005008227,322.4440999351077,319.4435031098078,322.02215576171875,1094400
2021-12-28,321.9846834711499,323.4568667787029,321.5252235483945,322.369140625,926400
2021-12-29,322.7253806119577,324.9101897877084,322.5190872833222,323.87872314453125,802100
2021-12-30,323.7475330286698,324.6477092915423,322.34099509839325,322.8754577636719,925300
2021-12-31,322.30346740529,325.35096614073484,322.2190785665465,324.8446044921875,817800
2022-01-03,324.8352818259663,324.99467344419253,317.27745782572373,317.5400390625,1514700
2022-01-04,317.83996785028023,324.094384025863,317.192958293631,323.3254699707031,1919900
2022-01-05,326.0260806012623,330.236307837514,324.7414473493333,324.8258361816406,1654900
2022-01-06,323.2036693549184,323.9725836572194,316.65859755654543,316.94927978515625,1649400
2022-01-07,316.9585704166511,317.11799061296426,312.5326639971985,315.3269958496094,1441000
2022-01-10,312.64522711483517,314.6424867043883,310.04780239351476,314.52996826171875,1415600
2022-01-11,313.3672005382561,315.50513653119225,310.37596163981254,315.4676208496094,1571700
2022-01-12,317.2305699548561,320.61565286691285,316.1709734439244,320.02490234375,1274400
2022-01-13,317.2023573704896,318.7589290766645,312.05443892846284,312.63580322265625,1446200
2022-01-14,308.64127599832983,310.13220265079565,304.90928063724306,308.1536865234375,1850700
2022-01-18,302.7150688801931,303.6246311840446,298.61735978274714,301.1491394042969,2207400
2022-01-19,305.08739623794617,306.45644689611663,301.80547487420193,302.11492919921875,1442400
2022-01-20,303.6433623993607,307.1878362220112,301.23348763045726,301.6366882324219,1611700
2022-01-21,300.7178016347026,301.95553318566215,295.8417923429955,296.42315673828125,1921800
2022-01-24,294.2476951647395,297.0420272182868,285.1802308744823,296.4606628417969,2877700
2022-01-25,291.03141237461824,296.51691537262377,287.21499971045205,294.05078125,1941600
2022-01-26,297.3421077722306,297.9422157089942,286.7086850401697,289.68115234375,2092900
2022-01-27,291.3690444760878,294.4915462344453,288.1527391787411,291.9504089355469,2151600
2022-01-28,288.20896048257515,295.3448105197627,286.38986457491376,295.3166809082031,1898400
2022-01-31,290.740769249652,299.0299628111553,290.26253718892116,298.82366943359375,2381400
