Date,Open,High,Low,Close,Volume
2021-09-22,281.9505606881103,282.22741028894666,279.5973688625846,280.4192810058594,2026790
2021-09-23,281.3016335137399,282.971367327985,279.63189969949485,281.19781494140625,2552326
2021-09-24,281.11998697474655,282.1408398976382,278.7754322645929,280.73931884765625,1592398
2021-09-27,278.1870933785128,279.0436114518067,271.2746113228815,273.38555908203125,2043598
2021-09-28,267.26034673921265,269.53568898857156,260.38247026592126,262.9606018066406,4197965
2021-09-29,264.6747767477936,267.6962098800872,264.2419002670565,265.4452819824219,2316912
2021-09-30,267.22871029292395,269.4017353821601,263.3415240971571,263.5666198730469,3193932
2021-10-01,265.7656116455692,265.7656116455692,251.11724947028665,261.73126220703125,3010181
2021-10-04,261.229164488059,262.83943553156837,257.23808720282557,258.4847717285156,2596994
2021-10-05,261.23771301609395,262.93458856481726,259.21188119376063,259.30712890625,1988890
2021-10-06,258.70108580629386,260.2594110028064,255.71428342874424,260.2420959472656,1850710
2021-10-07,262.1381048019422,265.45389355319406,261.9563116023858,261.9822692871094,1881842
2021-10-08,262.259370470162,263.2116988352096,258.91759346407486,259.52362060546875,1215984
2021-10-11,259.11665751205095,261.86972165108875,257.6016049926603,258.6318359375,1265052
2021-10-12,260.20750403990183,260.20750403990183,254.13000805925856,256.99560546875,2874482
2021-10-13,258.65787609870966,258.9781898031889,255.1602638293214,256.1385498046875,3115536
2021-10-14,258.47605800331183,262.925968842271,258.47605800331183,260.0950012207031,3181073
2021-10-15,260.70102660255213,262.0256137896566,260.0084242034992,260.9174499511719,3336511
2021-10-18,260.68370527755957,264.49295877646557,259.20328258624727,263.3415222167969,1993740
2021-10-19,265.1855703754629,268.7264554753342,264.69210606193093,267.0642395019531,2061984
2021-10-20,272.21541075965,273.2543144280086,269.2459224775141,272.55303955078125,2918249
2021-10-21,272.2759847124269,272.2759847124269,261.45422106208935,269.02081298828125,3239729
2021-10-22,269.3497939971326,271.97298087293,267.9213164541797,271.3063659667969,2452272
2021-10-25,270.5271049201999,271.6006383049614,264.2851022448482,265.003662109375,2601619
2021-10-26,266.27634206365815,268.137695799346,264.6054837580825,265.7222900390625,1527763
2021-10-27,266.8131736636994,268.6225826677794,263.5666443744339,264.2592468261719,2119286
2021-10-28,264.7006653764496,266.6312790757656,262.58825850373665,263.6790771484375,2715773
2021-10-29,262.6835434222929,270.11161438242334,262.042916036662,269.9125061035156,3115198
2021-11-01,270.8908138384867,272.691550330689,266.82183421996626,268.1031188964844,2101915
2021-11-02,268.6659085274485,272.56176828640315,267.2287879581857,271.1938781738281,3100308
2021-11-03,272.4058285504868,272.4058285504868,262.96924109694584,269.1159973144531,3261048
2021-11-04,269.17665659657195,269.6961084198743,262.7701437135164,264.9085388183594,3754661
2021-11-05,255.3680390120693,255.8788183628408,244.5808911250145,252.86602783203125,7674235
2021-11-08,255.06506643680325,261.410932042221,253.96554515242607,260.8915100097656,3294550
2021-11-09,261.5927252444196,262.01692929322144,257.43717064579437,259.0214538574219,2095824
2021-11-10,257.6016499059107,262.02560284176786,257.6016499059107,261.48016357421875,2516004
2021-11-11,262.94325035147637,265.01238486720825,261.61002069678193,263.6531677246094,2429374
