year,start_equity,end_equity,return_pct,max_drawdown_pct,trades,win_rate_pct,pnl
2021,1000.0,936.61,-6.34,-12.59,13,15.4,-97.31
2022,930.99,769.82,-17.31,-29.27,61,32.8,-132.86
2023,769.82,556.44,-27.72,-35.26,36,16.7,-235.47
2024,552.46,579.99,4.98,-22.33,37,45.9,32.23
2025,578.85,310.69,-46.33,-49.96,24,20.8,-244.73
2026,312.32,262.72,-15.88,-26.33,16,37.5,-46.17
