date,portfolio_value,cash,positions,queue_size
2021-09-07,1000.0,1000.0,0,0
2021-09-08,1000.0,1000.0,0,0
2021-09-09,1000.0,1000.0,0,0
2021-09-10,1000.0,1000.0,0,0
2021-09-13,1000.0,1000.0,0,0
2021-09-14,1000.0,1000.0,0,0
2021-09-15,1000.0,1000.0,0,0
2021-09-16,1000.0,1000.0,0,0
2021-09-17,1000.0,1000.0,0,0
2021-09-20,1000.0,1000.0,0,0
2021-09-21,1000.0,1000.0,0,0
2021-09-22,1000.0,1000.0,0,0
2021-09-23,1000.0,1000.0,0,0
2021-09-24,1000.0,1000.0,0,0
2021-09-27,1000.0,1000.0,0,0
2021-09-28,1000.0,1000.0,0,0
2021-09-29,1000.0,1000.0,0,0
2021-09-30,1000.0,1000.0,0,0
2021-10-01,1008.25,400.0,3,0
2021-10-04,1003.2,400.0,3,0
2021-10-05,1012.66,250.8,4,9
2021-10-06,1015.83,250.8,4,11
2021-10-07,1023.23,250.8,4,16
2021-10-08,1022.07,250.8,4,17
2021-10-11,1015.55,250.8,4,20
2021-10-12,1010.86,250.8,4,12
2021-10-13,1016.31,250.8,4,8
2021-10-14,1031.17,250.8,4,9
2021-10-15,1034.95,250.8,4,7
2021-10-18,1035.06,250.8,4,8
2021-10-19,1040.15,250.8,4,7
2021-10-20,1042.58,250.8,4,6
2021-10-21,1043.11,250.8,4,6
2021-10-22,1035.29,250.8,4,6
2021-10-25,1037.76,250.8,4,10
2021-10-26,1041.07,250.8,4,8
2021-10-27,1045.58,250.8,4,9
2021-10-28,1048.5,250.8,4,12
2021-10-29,1049.94,250.8,4,10
2021-11-01,1049.67,262.49,5,10
2021-11-02,1055.1,372.49,5,6
2021-11-03,1062.26,372.49,5,3
2021-11-04,1063.26,372.49,5,1
2021-11-05,1067.14,372.49,5,1
2021-11-08,1071.44,372.49,5,3
2021-11-09,1069.28,372.49,5,3
2021-11-10,1060.42,372.49,5,4
2021-11-11,1054.72,372.49,5,4
2021-11-12,1059.12,441.27,4,2
2021-11-15,1057.08,441.27,4,2
2021-11-16,1054.4,441.27,4,0
2021-11-17,1051.86,441.27,4,0
2021-11-18,1045.46,262.97,5,0
2021-11-19,1041.52,262.97,5,0
2021-11-22,1040.27,262.97,5,0
2021-11-23,1037.18,262.97,5,7
2021-11-24,1035.74,262.97,5,7
2021-11-26,1027.11,262.97,5,7
2021-11-29,1024.98,262.97,5,7
2021-11-30,1010.29,262.97,5,3
2021-12-01,995.29,254.02,5,6
