symbol,strategy,trigger,regime,entry_date,entry_price,stop_loss,take_profit,trailing_stop,peak_price,rsi_at_entry,volume_ratio,confluence,macd_hist,sma50_dist,spy_rsi,holding_days,exit_date,exit_price,exit_reason,pnl_pct,peak_after_exit,missed_upside_pct,win
SOFI,momentum_breakout,breakout,uptrend,2024-10-14,10.039999961853027,9.33,10.04,15.19,16.8799991607666,76.00476340499324,2.676389319025536,3,0.16096521027322974,24.28486014470583,0,63,2024-12-16,16.88,bearish_divergence,68.13,18.030000686645508,6.81,1
SOFI,momentum_breakout,breakout,uptrend,2025-01-21,17.899999618530273,16.36,17.9,16.36,18.030000686645508,64.79391058646293,1.7344858369773237,3,0.21135751471681846,15.270389583958243,0,6,2025-01-27,16.36,stop_loss,-8.6,16.829999923706055,2.87,0
SOFI,momentum_breakout,breakout,uptrend,2025-06-30,18.209999084472656,16.03,18.21,20.32,22.57999992370605,76.49589115227688,2.02884113288878,3,0.2917090561048479,24.350353147554845,0,31,2025-07-31,22.58,bearish_divergence,24.0,26.149999618530277,15.81,1
SOFI,momentum_breakout,breakout,uptrend,2025-08-26,25.6200008392334,23.09,25.62,26.83,29.809999465942383,67.88373564502695,1.6697057373035076,3,0.14551155805998528,19.2904008923592,0,35,2025-09-30,26.83,trailing_stop,4.72,31.65999984741211,18.0,1
SOFI,momentum_breakout,breakout,uptrend,2025-10-28,31.65999984741211,29.13,31.66,29.13,31.65999984741211,64.16786082578881,2.2860456217079252,3,0.309683295520081,15.147820001713356,0,2,2025-10-30,29.13,stop_loss,-7.99,32.209999084472656,10.57,0
SOFI,momentum_breakout,breakout,uptrend,2026-06-17,17.420000076293945,15.6,17.42,16.9,18.780000686645508,56.4746802636615,1.555299903847834,3,0.10504787071033851,2.909874492737788,0,36,2026-07-23,16.9,trailing_stop,-2.99,19.18000030517578,13.49,0
HOOD,momentum_breakout,breakout,uptrend,2024-02-12,12.010000228881836,11.53,12.01,18.12,20.1299991607666,59.23204121783101,2.6258823753655034,3,0.1124871554900276,4.379685292245979,0,60,2024-04-12,18.12,trailing_stop,50.87,20.959999084472656,15.67,1
HOOD,momentum_breakout,breakout,uptrend,2024-05-06,17.780000686645508,16.44,17.78,16.44,17.989999771118164,54.235041898807815,1.971587374905394,3,0.0031123375733568825,0.7019167136620387,0,4,2024-05-10,16.44,stop_loss,-7.54,23.700000762939453,44.16,0
HOOD,momentum_breakout,breakout,uptrend,2024-05-17,20.09000015258789,18.88,20.09,22.17,24.6299991607666,61.143544161494155,2.9301003915435406,3,0.21557224946986017,10.66500863101358,0,68,2024-07-24,22.17,trailing_stop,10.35,21.40999984741211,-3.43,1
HOOD,momentum_breakout,breakout,uptrend,2024-09-20,22.729999542236328,20.18,22.73,21.5,23.88999938964844,60.93179318154211,1.9586200393870365,3,0.32725209443047704,9.237129676046099,0,7,2024-09-27,23.89,bearish_divergence,5.1,29.86000061035156,24.99,1
