symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
WMT,momentum_breakout,breakout,2,2024-08-15,2024-08-16,71.468248,2025-02-25,92.771201,trailing_stop,1.46780751,0.73390375,True,2024-11-20,84.962641,0.73390375,61.354402,67.085132,3.0,1.0,105.901631,128.439534,193,68.959018,84.332533,0.0175548619,70.64,2.643,False,22.537903,21.281922,1
JPM,momentum_breakout,breakout,2,2025-01-15,2025-01-16,246.765122,2025-03-05,243.605752,trailing_stop,0.7699683,0.7699683,False,,0.0,0.0,0.0,186.568707,2.0,1.0,191.001322,186.568707,48,240.251055,291.182844,0.0131989223,66.04,1.819,False,-4.432615,-2.320725,0
GS,momentum_breakout,breakout,2,2025-01-15,2025-01-16,589.754997,2025-03-05,564.441146,trailing_stop,0.32183485,0.32183485,False,,0.0,0.0,0.0,180.656834,2.0,1.0,190.803714,180.656834,48,564.802112,695.910896,0.0211552976,60.69,2.361,False,-10.146879,-5.317967,0
MS,momentum_breakout,breakout,2,2025-01-15,2025-01-16,126.784187,2025-03-05,117.412027,trailing_stop,1.0599558,1.0599558,False,,0.0,0.0,0.0,123.451559,2.0,1.0,135.385634,123.451559,48,121.369736,149.605341,0.0213530208,57.69,1.813,False,-11.934076,-8.814876,0
ISRG,momentum_breakout,breakout,2,2024-05-30,2024-05-31,405.344942,2025-03-07,532.646813,trailing_stop,0.4568738,0.2284369,True,2024-08-16,477.532,0.2284369,108.085929,120.676186,3.0,1.0,186.191483,228.762114,280,394.383671,478.307032,0.0135209181,63.09,1.549,False,42.570632,22.863899,1
MCD,momentum_breakout,breakout,2,2025-03-07,2025-03-10,308.860416,2025-03-12,292.450261,stop_loss,0.59064397,0.59064397,False,,0.0,0.0,0.0,171.733982,2.0,1.0,183.426541,171.733982,2,299.099275,364.455291,0.0158018642,69.59,1.967,False,-11.692559,-6.374519,0
VZ,momentum_breakout,breakout,2,2025-03-07,2025-03-10,41.799883,2025-03-12,38.129812,stop_loss,4.35089016,4.35089016,False,,0.0,0.0,0.0,164.898624,2.0,1.0,182.8667,164.898624,2,40.60147,49.323862,0.0143351221,73.42,2.092,False,-17.968076,-9.825778,0
BMY,momentum_breakout,breakout,2,2025-03-07,2025-03-10,56.8427,2025-03-17,55.063095,stop_loss,1.25110383,1.25110383,False,,0.0,0.0,0.0,67.889649,2.0,1.0,72.11612,67.889649,7,54.987809,67.074386,0.0163160039,63.92,1.516,False,-4.226471,-5.860646,0
GILD,momentum_breakout,breakout,2,2025-03-05,2025-03-06,110.445337,2025-03-20,102.701758,stop_loss,1.65330627,1.65330627,False,,0.0,0.0,0.0,168.797461,2.0,1.0,183.599969,168.797461,14,105.775296,130.325498,0.021141869,81.05,1.774,False,-14.802508,-8.06237,0
DUK,momentum_breakout,breakout,2,2025-03-17,2025-03-18,113.854163,2025-03-26,110.279414,stop_loss,0.59399358,0.59399358,False,,0.0,0.0,0.0,64.505264,2.0,1.0,68.628642,64.505264,8,111.25204,134.347912,0.0114274366,65.8,1.643,False,-4.123378,-6.008247,0
XOM,momentum_breakout,breakout,2,2025-03-21,2025-03-24,110.479091,2025-04-07,95.684972,stop_loss,1.53706653,1.53706653,False,,0.0,0.0,0.0,146.074168,2.0,1.0,170.813713,146.074168,14,106.913512,130.365327,0.0161368941,62.14,2.205,False,-24.739545,-14.483348,0
UNH,momentum_breakout,breakout,2,2025-04-03,2025-04-04,520.14682,2025-04-07,492.95252,stop_loss,0.13579361,0.13579361,False,,0.0,0.0,0.0,65.939803,2.0,1.0,71.632616,65.939803,3,507.269772,613.773248,0.0123782825,65.01,1.524,False,-5.692812,-7.947235,0
UNH,momentum_breakout,breakout,2,2025-04-07,2025-04-08,560.102689,2025-04-09,537.83098,stop_loss,0.29251464,0.29251464,False,,0.0,0.0,0.0,156.323438,2.0,1.0,164.838239,156.323438,1,545.454467,660.921173,0.0130763714,53.71,1.608,False,-8.514801,-5.16555,0
LLY,mean_reversion,oversold,2,2025-04-07,2025-04-08,747.819783,2025-04-11,714.603505,stop_loss,0.07088815,0.07088815,False,,0.0,0.0,0.0,49.656919,2.0,1.0,54.011559,49.656919,3,714.31828,822.601761,0.0223994493,27.57,1.824,False,-4.35464,-8.062423,0
UNH,momentum_breakout,breakout,2,2025-04-09,2025-04-10,558.245795,2025-04-21,431.847155,stop_loss,0.27438443,0.27438443,False,,0.0,0.0,0.0,117.492136,2.0,1.0,154.173956,117.492136,11,537.327544,658.730038,0.0187356996,69.21,2.347,False,-36.681819,-23.792487,0
NEM,momentum_breakout,breakout,2,2025-04-11,2025-04-14,52.830351,2025-05-14,48.30652,trailing_stop,0.86894677,0.86894677,False,,0.0,0.0,0.0,40.975795,2.0,1.0,46.906763,40.975795,30,49.13569,62.339814,0.0349672176,70.91,2.099,False,-5.930968,-12.644164,0
BRK-B,momentum_breakout,breakout,2,2025-02-25,2025-02-26,499.619115,2025-06-16,489.240281,stop_loss,0.13041429,0.13041429,False,,0.0,0.0,0.0,62.803922,2.0,1.0,66.15747,62.803922,110,487.681845,589.550556,0.0119463705,70.7,1.782,False,-3.353548,-5.069039,0
LMT,momentum_breakout,breakout,2,2025-04-22,2025-04-23,449.296865,2025-07-23,400.016313,stop_loss,0.28250504,0.28250504,False,,0.0,0.0,0.0,112.006623,2.0,1.0,127.928627,112.006623,91,431.415269,530.170301,0.0198995337,50.28,1.63,False,-15.922004,-12.446006,0
CL,momentum_breakout,breakout,2,2025-03-12,2025-03-13,87.809039,2025-07-29,84.675677,stop_loss,1.91122831,1.91122831,False,,0.0,0.0,0.0,160.834551,2.0,1.0,168.823121,160.834551,138,84.400514,103.614666,0.0194087394,52.47,1.717,False,-7.98857,-4.731917,0
CDNS,momentum_breakout,breakout,2,2025-07-29,2025-07-30,367.85748,2025-08-20,345.853812,stop_loss,0.42707002,0.42707002,False,,0.0,0.0,0.0,146.703793,2.0,1.0,158.1009,146.703793,21,348.547472,434.071827,0.0262465894,76.83,2.633,False,-11.397107,-7.208755,0
AMD,momentum_breakout,breakout,2,2025-05-14,2025-05-15,117.137017,2025-08-21,165.694141,trailing_stop,0.3582151,0.17910755,True,2025-06-25,140.799062,0.17910755,24.218175,28.677072,3.0,1.0,42.960248,52.895247,98,110.137284,138.22168,0.0298783971,68.17,1.993,False,9.934999,23.126027,1
