year,start_equity,end_equity,return_pct,max_drawdown_pct,trades,win_rate_pct,pnl
2021,1000.0,933.45,-6.65,-13.08,9,11.1,-98.25
2022,937.34,658.71,-29.73,-31.92,60,23.3,-259.84
2023,659.77,872.14,32.19,-12.96,37,40.5,63.46
2024,858.07,1035.43,20.67,-14.63,45,46.7,247.76
2025,1034.41,806.41,-22.04,-30.02,48,20.8,-205.19
2026,810.7,724.49,-10.63,-15.87,44,36.4,-28.99
