symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,pnl_before_commission,win,win_before_commission
SHAK,mean_reversion,bullish_div+sma_support,2,2022-12-16,2022-12-19,48.328279,2022-12-22,44.785172,stop_loss,3.08308104,3.08308104,False,,0.0,0.0,0.0,137.076314,2.0,1.0,150.0,137.076314,3,45.892534,53.161107,0.0252,False,47.1,1.2,False,-12.923686,-8.615791,-10.923686,0,0
CMC,momentum_breakout,breakout,3,2023-01-11,2023-01-12,53.85258,2023-01-19,49.789092,stop_loss,2.76681267,2.76681267,False,,0.0,0.0,0.0,136.757092,2.0,1.0,150.0,136.757092,7,51.289197,63.546044,0.0238,False,73.8,1.51,False,-13.242908,-8.828605,-11.242908,0,0
BHP,momentum_breakout,breakout,3,2023-01-20,2023-01-23,58.378883,2023-02-07,55.541206,stop_loss,2.55229274,2.55229274,False,,0.0,0.0,0.0,140.757418,2.0,1.0,150.0,140.757418,15,56.522435,68.887082,0.0159,False,68.6,1.66,False,-9.242582,-6.161722,-7.242582,0,0
SCCO,momentum_breakout,breakout,3,2023-01-12,2023-01-13,62.447582,2023-02-10,61.311978,bearish_divergence,2.38600111,2.38600111,False,,0.0,0.0,0.0,145.290447,2.0,1.0,150.0,145.290447,28,60.024616,73.688147,0.0194,False,80.5,1.73,False,-4.709553,-3.139702,-2.709553,0,0
KALU,mean_reversion,bullish_div+sma_support,2,2023-01-06,2023-01-09,72.98518,2023-02-13,73.411184,trailing_stop,2.04151034,1.02075517,True,2023-02-03,80.267691,1.02075517,80.933661,73.934846,3.0,1.0,150.0,154.868507,35,69.248339,80.283698,0.0256,False,52.3,0.4,False,4.868507,3.245671,7.868507,1,1
TXRH,momentum_breakout,breakout,3,2023-02-07,2023-02-08,98.191493,2023-02-13,94.983671,stop_loss,1.51744306,1.51744306,False,,0.0,0.0,0.0,143.132312,2.0,1.0,150.0,143.132312,5,94.970812,115.865962,0.0164,False,63.0,1.53,True,-6.867688,-4.578458,-4.867688,0,0
CHEF,mean_reversion,bullish_div+sma_support,2,2023-01-09,2023-01-10,35.725689,2023-02-24,33.71625,trailing_stop,4.17066838,4.17066838,False,,0.0,0.0,0.0,139.619298,2.0,1.0,150.0,139.619298,45,33.860808,39.298257,0.0261,False,58.0,1.41,False,-10.380702,-6.920468,-8.380702,0,0
PKX,momentum_breakout,breakout,3,2023-02-21,2023-02-24,56.465424,2023-03-01,57.258831,bearish_divergence,2.63878297,2.63878297,False,,0.0,0.0,0.0,150.093628,2.0,1.0,150.0,150.093628,5,54.387497,66.629201,0.0184,False,62.6,1.88,True,0.093628,0.062418,2.093628,1,1
SCCO,momentum_breakout,breakout,3,2023-03-03,2023-03-06,65.294108,2023-03-08,61.55184,stop_loss,2.28198231,2.28198231,False,,0.0,0.0,0.0,139.46021,2.0,1.0,150.0,139.46021,2,62.956579,77.047048,0.0179,False,62.6,1.76,False,-10.53979,-7.026527,-8.53979,0,0
TPR,momentum_breakout,breakout,3,2023-01-18,2023-01-19,39.3667,2023-03-10,38.322586,trailing_stop,3.78492481,3.78492481,False,,0.0,0.0,0.0,144.048108,2.0,1.0,150.0,144.048108,50,38.154206,46.452706,0.0154,False,76.2,1.51,False,-5.951892,-3.967928,-3.951892,0,0
TXRH,momentum_breakout,breakout,3,2023-02-14,2023-02-15,98.379521,2023-03-29,100.662405,bearish_divergence,1.51454285,1.51454285,False,,0.0,0.0,0.0,151.457525,2.0,1.0,150.0,151.457525,42,95.113321,116.087835,0.0166,False,59.8,1.65,False,1.457525,0.971683,3.457525,1,1
PLAY,mean_reversion,oversold+volume+sma_support,3,2023-03-13,2023-03-14,35.155119,2023-04-06,33.4665,stop_loss,4.23835858,4.23835858,False,,0.0,0.0,0.0,140.843027,2.0,1.0,150.0,140.843027,23,33.664542,38.670631,0.0212,False,28.0,1.81,False,-9.156973,-6.104648,-7.156973,0,0
TPR,mean_reversion,bullish_div+sma_support,2,2023-03-31,2023-04-03,39.577982,2023-04-06,36.879744,stop_loss,3.76471946,3.76471946,False,,0.0,0.0,0.0,137.841888,2.0,1.0,150.0,137.841888,3,38.319402,43.535781,0.0159,False,54.2,0.89,False,-12.158112,-8.105408,-10.158112,0,0
WING,momentum_breakout,breakout,3,2023-02-14,2023-02-15,167.766759,2023-04-12,180.101494,bearish_divergence,0.8881378,0.8881378,False,,0.0,0.0,0.0,158.954945,2.0,1.0,150.0,158.954945,56,157.801413,197.964776,0.0297,False,60.9,1.54,False,8.954945,5.969963,10.954945,1,1
PKX,momentum_breakout,breakout,3,2023-04-03,2023-04-06,63.914999,2023-04-26,64.905045,trailing_stop,2.3312212,2.3312212,False,,0.0,0.0,0.0,150.308017,2.0,1.0,150.0,150.308017,20,60.693683,75.419699,0.0252,False,73.9,2.0,False,0.308017,0.205345,2.308017,1,1
DUOL,momentum_breakout,breakout,3,2023-03-06,2023-03-08,123.573447,2023-05-03,124.725148,trailing_stop,1.20576065,1.20576065,False,,0.0,0.0,0.0,149.388676,2.0,1.0,150.0,149.388676,56,109.065924,145.816667,0.0587,False,77.9,1.67,False,-0.611324,-0.407549,1.388676,0,1
OVV,mean_reversion,bullish_div+sma_support,2,2023-05-23,2023-05-24,33.264509,2023-05-31,29.550813,stop_loss,4.47924848,4.47924848,False,,0.0,0.0,0.0,131.365433,2.0,1.0,150.0,131.365433,7,31.261985,36.59096,0.0301,False,49.1,1.35,False,-18.634567,-12.423045,-16.634567,0,0
