date,equity,cash,positions,queue_size,pending
2021-09-22,1000.0,1000.0,0,0,0
2021-09-23,1000.0,1000.0,0,0,0
2021-09-24,1000.0,1000.0,0,0,0
2021-09-27,1000.0,1000.0,0,0,0
2021-09-28,1000.0,1000.0,0,0,0
2021-09-29,1000.0,1000.0,0,0,0
2021-09-30,1000.0,1000.0,0,0,0
2021-10-01,1000.0,1000.0,0,0,0
2021-10-04,1000.0,1000.0,0,0,0
2021-10-05,1000.0,1000.0,0,0,0
2021-10-06,1000.0,1000.0,0,0,0
2021-10-07,1000.0,1000.0,0,0,0
2021-10-08,1000.0,1000.0,0,0,0
2021-10-11,1000.0,1000.0,0,0,0
2021-10-12,1000.0,1000.0,0,0,0
2021-10-13,1000.0,1000.0,0,0,0
2021-10-14,1000.0,1000.0,0,0,0
2021-10-15,1000.0,1000.0,0,0,0
2021-10-18,1000.0,1000.0,0,0,0
2021-10-19,1000.0,1000.0,0,0,0
2021-10-20,1000.0,1000.0,0,0,0
2021-10-21,1000.0,1000.0,0,0,0
2021-10-22,1000.0,1000.0,0,0,0
2021-10-25,1000.0,1000.0,0,0,0
2021-10-26,1000.0,1000.0,0,0,0
2021-10-27,1000.0,1000.0,0,0,0
2021-10-28,1000.0,1000.0,0,0,0
2021-10-29,1000.0,1000.0,0,0,0
2021-11-01,1000.73,850.0,1,0,0
2021-11-02,1001.33,850.0,1,0,0
2021-11-03,1004.8,850.0,1,0,0
2021-11-04,1002.64,850.0,1,0,0
2021-11-05,1002.3,850.0,1,0,0
2021-11-08,1001.49,850.0,1,0,0
2021-11-09,1001.91,850.0,1,0,0
2021-11-10,1004.59,850.0,1,0,0
2021-11-11,1004.84,850.0,1,0,0
2021-11-12,1004.96,850.0,1,0,0
2021-11-15,1004.32,850.0,1,0,0
2021-11-16,1000.7,700.0,2,0,0
2021-11-17,1001.15,700.0,2,0,0
2021-11-18,1002.72,700.0,2,0,0
2021-11-19,1005.94,700.0,2,0,0
2021-11-22,1006.97,700.0,2,0,0
2021-11-23,1010.97,700.0,2,0,0
2021-11-24,1011.66,700.0,2,0,0
2021-11-26,1010.64,700.0,2,0,0
2021-11-29,1013.82,700.0,2,0,0
2021-11-30,1007.34,700.0,2,0,0
2021-12-01,1006.97,550.0,3,0,0
2021-12-02,1014.42,400.0,4,0,0
2021-12-03,1000.63,400.0,4,0,0
2021-12-06,1010.31,381.44,4,0,0
2021-12-07,1013.27,231.44,5,0,0
2021-12-08,1023.69,231.44,5,0,0
2021-12-09,1005.01,231.44,5,1,0
2021-12-10,987.19,231.44,5,2,0
2021-12-13,989.56,359.78,4,3,0
2021-12-14,1000.24,209.78,5,6,0
2021-12-15,1002.35,290.96,5,7,0
2021-12-16,1001.25,372.63,5,10,0
2021-12-17,1006.84,515.5,4,10,0
2021-12-20,1000.18,526.45,4,10,0
2021-12-21,1005.0,376.45,5,5,0
2021-12-22,1009.02,376.45,5,1,0
2021-12-23,1012.41,376.45,5,0,0
2021-12-27,1017.99,376.45,5,0,0
2021-12-28,1020.14,376.45,5,0,0
2021-12-29,1021.07,457.2,5,0,0
2021-12-30,1025.42,457.2,5,0,0
2021-12-31,1023.24,457.2,5,0,0
2022-01-03,1026.29,457.2,5,0,0
2022-01-04,1032.04,457.2,5,1,0
2022-01-05,1021.56,457.2,5,7,0
2022-01-06,1022.33,457.2,5,10,0
2022-01-07,1026.59,457.2,5,10,0
2022-01-10,1028.67,457.2,5,10,0
2022-01-11,1030.73,457.2,5,6,0
2022-01-12,1024.54,619.47,3,3,0
2022-01-13,1023.97,319.47,5,2,0
2022-01-14,1021.85,319.47,5,4,0
2022-01-18,1014.84,319.47,5,6,0
2022-01-19,1012.73,397.49,4,8,0
2022-01-20,1001.35,247.49,5,7,0
2022-01-21,984.68,247.49,5,6,0
2022-01-24,981.39,378.79,4,9,0
2022-01-25,988.49,228.79,5,5,0
2022-01-26,987.64,228.79,5,5,0
2022-01-27,987.77,373.41,4,4,0
2022-01-28,986.43,360.7,4,1,0
2022-01-31,985.3,210.7,5,0,0
2022-02-01,1000.56,210.7,5,0,0
2022-02-02,1002.84,210.7,5,0,0
2022-02-03,995.72,210.7,5,4,0
2022-02-04,1001.44,357.6,4,5,0
2022-02-07,1007.33,207.6,5,4,0
2022-02-08,1003.17,207.6,5,4,0
2022-02-09,1005.82,207.6,5,1,0
2022-02-10,992.09,207.6,5,1,0
2022-02-11,1002.18,207.6,5,2,0
2022-02-14,989.27,207.6,5,3,0
2022-02-15,984.36,348.31,4,3,0
2022-02-16,990.3,198.31,5,3,0
2022-02-17,985.22,198.31,5,3,0
2022-02-18,979.05,198.31,5,3,0
2022-02-22,971.75,358.01,4,3,0
2022-02-23,967.13,208.01,5,1,0
2022-02-24,954.89,333.48,4,0,0
2022-02-25,979.17,183.48,5,0,0
2022-02-28,981.3,183.48,5,2,0
2022-03-01,993.17,183.48,5,4,0
2022-03-02,1009.24,183.48,5,5,0
2022-03-03,1016.2,270.47,5,5,0
2022-03-04,1033.44,270.47,5,6,0
2022-03-07,1047.64,270.47,5,6,0
2022-03-08,1050.39,361.7,5,4,0
2022-03-09,1045.57,361.7,5,8,0
2022-03-10,1055.79,361.7,5,6,0
