symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,reason,stop_pct_used,tiers_fired,held_days,scaled_pnl
CNX,2022-07-19,2022-08-02,17.806364176571712,16.331830152511596,7.67759204767208,-11.32087069714585,-8.2809382613897,stop_loss,0.081724,[],14,0.0
DVN,2022-07-11,2022-08-03,45.5496441625937,47.11640651321412,2.5269135588182587,3.959073027228712,3.439680769025808,trailing_stop,0.084035,[0.15],23,5.326621601230212
CELH,2022-07-18,2022-08-09,25.105878956794733,31.11110368919373,2.7125864723932613,16.28969137278696,23.919595656194797,trailing_stop,0.133825,"[0.15, 0.3]",22,11.853385036817912
GTLB,2022-08-16,2022-08-19,67.62379133605957,61.03946469497681,1.9510884763073701,-12.846603833660183,-9.736701404926624,stop_loss,0.08265,[],3,0.0
BTU,2022-08-02,2022-08-30,18.55753195667267,23.228541814804082,3.8613361748771724,18.036339338410713,25.170426051465718,trailing_stop,0.106328,"[0.15, 0.3]",28,12.670571072726457
ATI,2022-07-11,2022-08-31,26.13536804528352,29.915035305023196,4.224734567226224,15.968090924835423,14.461886487272052,trailing_stop,0.075963,"[0.15, 0.3, 0.5]",51,20.84193179934764
OVV,2022-08-03,2022-09-01,43.19921053848647,45.67055463600159,2.8143457422262568,6.955216738417661,5.720808474759936,trailing_stop,0.073253,[0.15],29,4.9647633099374495
NUE,2022-08-31,2022-09-14,125.50482920837402,113.84493504333497,1.0472903778210152,-12.211294965456787,-9.29039483068837,stop_loss,0.085401,[],14,0.0
BTU,2022-09-01,2022-09-16,22.25950294303894,19.635120765686036,5.858172140397191,-15.3740825571237,-11.789940611291177,stop_loss,0.103065,[],15,0.0
GLBE,2022-09-14,2022-09-21,34.48723622131347,30.524730915069583,3.7448637278792423,-14.83904239288178,-11.489773436222823,stop_loss,0.112224,[],7,0.0
DKNG,2022-09-16,2022-09-21,18.60930038166046,16.711639313697816,6.829380868355895,-12.959850192167892,-10.197379960789913,stop_loss,0.09135,[],5,0.0
STLD,2022-09-02,2022-09-23,73.6007544593811,66.2159980583191,1.783269763524428,-13.169012801007312,-10.033533562672247,stop_loss,0.082132,[],21,0.0
DVN,2022-09-22,2022-09-23,53.71191638946533,49.04219713401795,2.2911116987093036,-10.6988484158436,-8.694009764215503,stop_loss,0.078203,[],1,0.0
AR,2022-09-23,2022-10-21,31.332725532799635,33.45326622009277,3.5942454646197852,7.621743747845073,6.767814325866155,trailing_stop,0.088552,[0.15],28,4.915026875533346
