symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,reason,stop_pct_used,tiers_fired,held_days,scaled_pnl
DVN,2022-07-11,2022-08-03,45.73193201914745,47.11640651321412,4.3748423473095475,6.056857645412862,3.027369352090808,trailing_stop,0.084035,[0.15],23,8.877707918642464
CNX,2022-07-19,2022-08-04,17.77757174685991,15.732129771232605,13.286966485831918,-27.177718978873827,-11.505744455727452,stop_loss,0.085328,[],16,0.0
CELH,2022-07-18,2022-08-09,25.105878956794733,31.11110368919373,4.547565606274554,27.309153451006978,23.919595656194797,trailing_stop,0.133825,"[0.15, 0.3]",22,19.871816479008622
GTLB,2022-08-16,2022-08-19,67.62379133605957,61.03946469497681,3.4545534254218944,-22.74590815204911,-9.736701404926624,stop_loss,0.08265,[],3,0.0
BTU,2022-08-03,2022-08-30,18.500288612365722,23.228541814804082,6.666280465232967,31.519861958090047,25.557726700965965,trailing_stop,0.106328,"[0.15, 0.3]",27,22.171505616449082
ATI,2022-07-11,2022-08-31,26.388507479311425,29.915035305023196,7.395075401684077,26.078939177275544,13.363877545846679,trailing_stop,0.075963,"[0.15, 0.3, 0.5]",51,34.73654192232331
NUE,2022-08-22,2022-09-14,127.8367364616394,113.84493504333497,1.8173962073078767,-25.42864683103147,-10.945055236530559,stop_loss,0.085401,[],23,0.0
BTU,2022-09-01,2022-09-16,22.25950294303894,19.635120765686036,10.042452456015246,-26.355233242480296,-11.789940611291177,stop_loss,0.103065,[],15,0.0
GLBE,2022-09-14,2022-09-21,34.48723622131347,30.524730915069583,6.37656200075822,-25.267160763597616,-11.489773436222823,stop_loss,0.112224,[],7,0.0
DKNG,2022-09-16,2022-09-21,18.60930038166046,16.711639313697816,11.50177575783221,-21.826472068074708,-10.197379960789913,stop_loss,0.09135,[],5,0.0
STLD,2022-09-02,2022-09-23,73.6007544593811,66.2159980583191,3.070213093056114,-22.672775791570473,-10.033533562672247,stop_loss,0.082132,[],21,0.0
DVN,2022-09-22,2022-09-23,53.71191638946533,49.04219713401795,3.7727196052856597,-17.617541386206284,-8.694009764215503,stop_loss,0.078203,[],1,0.0
AR,2022-09-23,2022-10-21,31.352945582408324,33.45326622009277,5.892109726020933,12.375319657063017,6.698957940535279,trailing_stop,0.088552,[0.15],28,7.996824737111268
DECK,2022-08-08,2022-10-28,54.162898735147984,57.52955518341065,3.4907658518013904,11.752209364342292,6.215798132823972,trailing_stop,0.057825,[0.15],81,8.376146359334804
URBN,2022-10-28,2022-11-02,24.69234030532837,22.878554389953617,8.463353307782825,-15.35071102649681,-7.345540734279261,stop_loss,0.058408,[],5,0.0
