year,start_equity,end_equity,return_pct,max_drawdown_pct,trades,win_rate_pct,pnl
2021,1000.0,936.61,-6.34,-12.59,13,15.4,-97.31
2022,934.3,678.03,-27.43,-31.33,52,26.9,-216.83
2023,678.79,510.48,-24.8,-38.82,35,2.9,-252.68
2024,492.87,678.49,37.66,-19.16,28,50.0,244.92
2025,677.85,418.81,-38.21,-40.28,34,20.6,-284.1
2026,432.46,561.07,29.74,-13.16,18,55.6,144.44
