symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,pnl_before_commission,win,win_before_commission
GS,momentum_breakout,breakout,3,2024-07-18,2024-07-19,467.795944,2024-08-05,427.221231,stop_loss,0.31851495,0.31851495,False,,0.0,0.0,0.0,135.076347,2.0,1.0,150.0,135.076347,17,452.732915,551.999214,0.0161,False,69.3,1.55,True,-14.923653,-9.949102,-12.923653,0,0
UNH,momentum_breakout,breakout,3,2024-07-17,2024-07-18,536.821502,2024-08-12,533.679844,bearish_divergence,0.27755967,0.27755967,False,,0.0,0.0,0.0,147.128002,2.0,1.0,150.0,147.128002,25,512.664535,633.449373,0.0225,False,75.1,1.89,False,-2.871998,-1.914665,-0.871998,0,0
MMM,momentum_breakout,breakout,3,2024-07-29,2024-07-30,120.626868,2024-09-10,123.920054,bearish_divergence,1.23521403,1.23521403,False,,0.0,0.0,0.0,152.06779,2.0,1.0,150.0,152.06779,42,107.936922,142.339704,0.0526,False,78.8,6.9,True,2.06779,1.378526,4.06779,1,1
LMT,momentum_breakout,breakout,3,2024-07-24,2024-07-25,486.070705,2024-09-17,536.73625,bearish_divergence,0.30653977,0.30653977,False,,0.0,0.0,0.0,163.531004,2.0,1.0,150.0,163.531004,54,472.071868,573.563431,0.0144,False,79.0,2.43,False,13.531004,9.02067,15.531004,1,1
CME,momentum_breakout,breakout,3,2024-09-09,2024-09-10,200.874553,2024-09-23,196.52378,stop_loss,0.74175647,0.74175647,False,,0.0,0.0,0.0,144.772786,2.0,1.0,150.0,144.772786,13,197.057937,237.031973,0.0095,False,70.9,1.84,True,-5.227214,-3.484809,-3.227214,0,0
PYPL,momentum_breakout,breakout,3,2024-08-20,2024-08-21,71.341476,2024-10-17,79.779558,bearish_divergence,2.08854664,2.08854664,False,,0.0,0.0,0.0,165.623329,2.0,1.0,150.0,165.623329,57,67.103792,84.182942,0.0297,False,67.9,1.55,False,15.623329,10.415552,17.623329,1,1
XLF,momentum_breakout,breakout,3,2024-10-16,2024-10-17,46.306233,2024-10-28,45.428626,stop_loss,3.21770934,3.21770934,False,,0.0,0.0,0.0,145.176114,2.0,1.0,150.0,145.176114,11,45.528289,54.641355,0.0084,False,66.9,1.53,True,-4.823886,-3.215924,-2.823886,0,0
GE,momentum_breakout,breakout,3,2024-09-16,2024-09-17,179.615554,2024-10-30,171.08562,trailing_stop,0.82954954,0.82954954,False,,0.0,0.0,0.0,140.923997,2.0,1.0,150.0,140.923997,43,172.035778,211.946354,0.0211,False,64.4,1.57,False,-9.076003,-6.050668,-7.076003,0,0
ICE,momentum_breakout,breakout,3,2024-10-28,2024-10-29,161.787489,2024-11-01,149.628837,stop_loss,0.9209612,0.9209612,False,,0.0,0.0,0.0,136.802354,2.0,1.0,150.0,136.802354,3,158.810599,190.909237,0.0092,False,64.7,1.91,True,-13.197646,-8.798431,-11.197646,0,0
TSLA,momentum_breakout,breakout,3,2024-10-28,2024-10-30,258.298049,2024-11-05,247.092656,bearish_divergence,0.57685298,0.57685298,False,,0.0,0.0,0.0,141.536136,2.0,1.0,150.0,141.536136,6,228.335475,304.791697,0.058,False,64.6,1.92,True,-8.463864,-5.642576,-6.463864,0,0
RBLX,mean_reversion,bullish_div+sma_support,2,2024-10-30,2024-11-01,51.161111,2024-11-05,49.870078,mean_reversion_complete,2.91236836,2.91236836,False,,0.0,0.0,0.0,144.240038,2.0,1.0,150.0,144.240038,4,49.390936,56.277222,0.0173,False,50.1,0.96,True,-5.759962,-3.839975,-3.759962,0,0
BLK,momentum_breakout,breakout,3,2024-09-23,2024-09-24,896.909423,2024-11-19,998.621374,bearish_divergence,0.16612603,0.16612603,False,,0.0,0.0,0.0,164.897002,2.0,1.0,150.0,164.897002,56,878.971235,1058.35312,0.01,False,68.6,1.52,True,14.897002,9.931335,16.897002,1,1
FTNT,momentum_breakout,breakout,3,2024-11-15,2024-11-18,94.66457,2024-12-16,98.111789,bearish_divergence,1.57397853,1.57397853,False,,0.0,0.0,0.0,153.425849,2.0,1.0,150.0,153.425849,28,88.890031,111.704192,0.0305,False,83.7,1.53,True,3.425849,2.2839,5.425849,1,1
PRU,mean_reversion,oversold+volume+sma_support,3,2024-08-05,2024-08-06,94.726994,2024-12-19,106.277851,trailing_stop,1.57294129,0.78647065,True,2024-08-23,104.738315,0.78647065,81.37361,82.584411,3.0,1.0,150.0,163.958021,135,89.611736,104.199693,0.027,False,28.8,2.35,False,13.958021,9.305347,16.958021,1,1
PLTR,momentum_breakout,breakout,3,2024-11-05,2024-11-06,53.493439,2025-01-06,78.611312,bearish_divergence,2.78538834,1.39269417,True,2024-11-18,64.855078,1.39269417,89.323289,108.481516,3.0,1.0,150.0,197.804806,61,47.480776,63.122258,0.0562,False,74.1,3.89,False,47.804806,31.86987,50.804806,1,1
ANET,momentum_breakout,breakout,3,2025-01-06,2025-01-07,119.809692,2025-01-14,114.495391,stop_loss,1.24363895,1.24363895,False,,0.0,0.0,0.0,141.390927,2.0,1.0,150.0,141.390927,7,113.891094,141.375437,0.0247,False,67.3,1.68,False,-8.609073,-5.739382,-6.609073,0,0
GOOGL,momentum_breakout,breakout,3,2024-12-16,2024-12-17,196.295116,2025-01-16,192.814159,bearish_divergence,0.75906117,0.75906117,False,,0.0,0.0,0.0,145.357741,2.0,1.0,150.0,145.357741,30,186.715914,231.628237,0.0244,False,69.5,2.25,True,-4.642259,-3.09484,-2.642259,0,0
BMY,momentum_breakout,breakout,3,2024-11-01,2024-11-05,50.862811,2025-02-18,49.999823,trailing_stop,2.92944881,2.92944881,False,,0.0,0.0,0.0,145.471921,2.0,1.0,150.0,145.471921,105,49.041922,60.018117,0.0179,False,69.1,2.14,True,-4.528079,-3.018719,-2.528079,0,0
WMT,momentum_breakout,breakout,3,2024-11-22,2024-11-25,88.966667,2025-02-25,92.771201,trailing_stop,1.67478456,1.67478456,False,,0.0,0.0,0.0,154.371775,2.0,1.0,150.0,154.371775,92,87.044987,104.980667,0.0108,False,80.1,1.52,False,4.371775,2.914517,6.371775,1,1
SPGI,momentum_breakout,breakout,3,2025-02-14,2025-02-18,507.316769,2025-02-28,494.894784,stop_loss,0.2937021,0.2937021,False,,0.0,0.0,0.0,144.351637,2.0,1.0,150.0,144.351637,10,492.80751,598.633788,0.0143,False,67.4,1.68,True,-5.648363,-3.765576,-3.648363,0,0
JPM,momentum_breakout,breakout,3,2025-01-15,2025-01-16,246.765122,2025-03-05,243.605752,trailing_stop,0.60381305,0.60381305,False,,0.0,0.0,0.0,146.092331,2.0,1.0,150.0,146.092331,48,240.250523,291.182844,0.0132,False,66.0,1.82,False,-3.907669,-2.605113,-1.907669,0,0
GS,momentum_breakout,breakout,3,2025-01-15,2025-01-16,589.754997,2025-03-05,564.441146,trailing_stop,0.25264729,0.25264729,False,,0.0,0.0,0.0,141.604524,2.0,1.0,150.0,141.604524,48,564.749385,695.910896,0.0212,False,60.7,2.36,False,-8.395476,-5.596984,-6.395476,0,0
BRK-B,momentum_breakout,breakout,3,2025-02-28,2025-03-03,516.736191,2025-03-05,495.504,stop_loss,0.2883483,0.2883483,False,,0.0,0.0,0.0,141.877734,2.0,1.0,150.0,141.877734,2,503.197702,609.748705,0.0131,False,72.5,1.66,False,-8.122266,-5.414844,-6.122266,0,0
MCD,momentum_breakout,breakout,3,2025-03-07,2025-03-10,308.860416,2025-03-12,292.450261,stop_loss,0.48241857,0.48241857,False,,0.0,0.0,0.0,140.083437,2.0,1.0,150.0,140.083437,2,299.100427,364.455291,0.0158,False,69.6,1.97,False,-9.916563,-6.611042,-7.916563,0,0
AON,momentum_breakout,breakout,3,2025-03-05,2025-03-06,398.851927,2025-03-14,391.323437,stop_loss,0.37357222,0.37357222,False,,0.0,0.0,0.0,145.187565,2.0,1.0,150.0,145.187565,8,392.470296,470.645274,0.008,False,77.0,1.53,True,-4.812435,-3.20829,-2.812435,0,0
GILD,momentum_breakout,breakout,3,2025-03-12,2025-03-14,108.744872,2025-03-20,102.701758,stop_loss,1.37017956,1.37017956,False,,0.0,0.0,0.0,139.71985,2.0,1.0,150.0,139.71985,6,104.264583,128.318949,0.0206,False,82.0,1.51,True,-10.28015,-6.853434,-8.28015,0,0
ABBV,momentum_breakout,breakout,3,2025-02-28,2025-03-03,200.268977,2025-03-26,193.339155,stop_loss,0.74399941,0.74399941,False,,0.0,0.0,0.0,142.844216,2.0,1.0,150.0,142.844216,23,194.821661,236.317393,0.0136,False,77.4,2.12,False,-7.155784,-4.770523,-5.155784,0,0
DUK,momentum_breakout,breakout,3,2025-03-19,2025-03-20,113.626122,2025-03-26,110.279414,stop_loss,1.31131818,1.31131818,False,,0.0,0.0,0.0,143.6114,2.0,1.0,150.0,143.6114,6,110.944546,134.078824,0.0118,False,65.8,1.64,True,-6.3886,-4.259067,-4.3886,0,0
PLD,mean_reversion,bullish_div+sma_support,2,2025-03-31,2025-04-01,107.234459,2025-04-04,94.477134,stop_loss,1.38947873,1.38947873,False,,0.0,0.0,0.0,130.273968,2.0,1.0,150.0,130.273968,3,103.266784,117.957905,0.0185,False,41.0,1.21,False,-19.726032,-13.150688,-17.726032,0,0
JPM,mean_reversion,oversold+sma_support,2,2025-03-12,2025-03-13,222.76868,2025-04-07,200.738392,trailing_stop,0.66885525,0.66885525,False,,0.0,0.0,0.0,133.264927,2.0,1.0,150.0,133.264927,25,214.927222,245.045547,0.0176,False,28.5,1.45,False,-16.735073,-11.156715,-14.735073,0,0
DUK,momentum_breakout,breakout,3,2025-04-03,2025-04-04,118.766333,2025-04-08,112.052614,stop_loss,1.25456429,1.25456429,False,,0.0,0.0,0.0,139.577207,2.0,1.0,150.0,139.577207,4,115.678409,140.144273,0.013,False,66.7,1.56,False,-10.422793,-6.948528,-8.422793,0,0
CME,momentum_breakout,breakout,3,2025-03-05,2025-03-06,241.029366,2025-04-11,246.805796,bearish_divergence,0.61818194,0.61818194,False,,0.0,0.0,0.0,151.570884,2.0,1.0,150.0,151.570884,36,235.003632,284.414652,0.0125,False,72.3,1.54,True,1.570884,1.047256,3.570884,1,1
LLY,mean_reversion,oversold+volume+sma_support,3,2025-04-07,2025-04-08,747.819783,2025-04-11,714.603505,stop_loss,0.19924587,0.19924587,False,,0.0,0.0,0.0,141.381794,2.0,1.0,150.0,141.381794,3,714.317457,822.601761,0.0224,False,27.6,1.82,False,-8.618206,-5.745471,-6.618206,0,0
AON,mean_reversion,oversold+volume+sma_support,3,2025-04-08,2025-04-11,367.487374,2025-04-22,357.319005,stop_loss,0.40545611,0.40545611,False,,0.0,0.0,0.0,143.877173,2.0,1.0,150.0,143.877173,11,356.83024,404.236111,0.0145,False,29.6,1.51,False,-6.122827,-4.081885,-4.122827,0,0
DE,momentum_breakout,breakout,3,2025-05-16,2025-05-19,518.380922,2025-05-29,502.090669,stop_loss,0.28743342,0.28743342,False,,0.0,0.0,0.0,143.317637,2.0,1.0,150.0,143.317637,10,500.23759,611.689488,0.0175,False,67.8,1.82,False,-6.682363,-4.454909,-4.682363,0,0
UBER,momentum_breakout,breakout,3,2025-05-12,2025-05-13,87.497414,2025-06-04,83.106812,trailing_stop,1.70290748,1.70290748,False,,0.0,0.0,0.0,140.523212,2.0,1.0,150.0,140.523212,22,83.140042,103.246948,0.0249,False,68.0,1.78,False,-9.476788,-6.317858,-7.476788,0,0
SNOW,momentum_breakout,breakout,3,2025-05-27,2025-05-29,206.496283,2025-08-11,191.967844,trailing_stop,0.72156262,0.72156262,False,,0.0,0.0,0.0,137.516821,2.0,1.0,150.0,137.516821,74,193.197923,243.665614,0.0322,False,74.7,1.7,False,-12.483179,-8.322119,-10.483179,0,0
UNP,mean_reversion,bullish_div+sma_support,2,2025-08-19,2025-08-20,219.207189,2025-09-10,210.351648,stop_loss,0.67972223,0.67972223,False,,0.0,0.0,0.0,141.980692,2.0,1.0,150.0,141.980692,21,211.973352,241.127908,0.0165,False,46.5,0.89,False,-8.019308,-5.346205,-6.019308,0,0
ICE,mean_reversion,oversold+volume+sma_support,3,2025-04-07,2025-04-08,155.757636,2025-09-24,165.16278,trailing_stop,0.95661442,0.47830721,True,2025-05-07,171.565635,0.47830721,81.06108,77.998549,3.0,1.0,150.0,159.059629,169,150.617634,171.333399,0.0165,False,28.0,1.74,False,9.059629,6.039752,12.059629,1,1
LIN,mean_reversion,oversold+sma_support,2,2025-04-08,2025-04-11,429.156437,2025-10-30,426.235387,trailing_stop,0.34719274,0.17359637,True,2025-08-18,472.020323,0.17359637,80.941015,72.992916,3.0,1.0,150.0,153.933931,202,413.878468,472.072081,0.0178,False,29.4,1.49,False,3.933931,2.622621,6.933931,1,1
ABBV,momentum_breakout,breakout,3,2025-09-24,2025-09-25,213.690814,2025-11-03,211.463608,trailing_stop,0.69726909,0.69726909,False,,0.0,0.0,0.0,146.447038,2.0,1.0,150.0,146.447038,39,208.604973,252.155161,0.0119,False,74.2,2.9,True,-3.552962,-2.368641,-1.552962,0,0
NET,momentum_breakout,breakout,3,2025-10-31,2025-11-04,240.49025,2025-11-14,209.740047,stop_loss,0.61956774,0.61956774,False,,0.0,0.0,0.0,128.948166,2.0,1.0,150.0,128.948166,10,222.790168,283.778495,0.0368,False,69.6,3.68,False,-21.051834,-14.034556,-19.051834,0,0
AAPL,momentum_breakout,breakout,3,2025-10-30,2025-11-03,269.694192,2025-11-20,269.824711,bearish_divergence,0.5524776,0.5524776,False,,0.0,0.0,0.0,148.072109,2.0,1.0,150.0,148.072109,17,261.387611,318.239147,0.0154,False,71.6,1.52,False,-1.927891,-1.285261,0.072109,0,1
XLV,momentum_breakout,breakout,3,2025-11-12,2025-11-14,149.867887,2025-12-10,147.760489,stop_loss,0.99420899,0.99420899,False,,0.0,0.0,0.0,145.904806,2.0,1.0,150.0,145.904806,26,147.769737,176.844107,0.007,False,76.0,1.59,False,-4.095194,-2.730129,-2.095194,0,0
JNJ,momentum_breakout,breakout,3,2025-11-19,2025-11-20,197.745651,2025-12-23,201.572799,bearish_divergence,0.75349318,0.75349318,False,,0.0,0.0,0.0,150.88373,2.0,1.0,150.0,150.88373,33,193.474345,233.339868,0.0108,False,76.3,1.72,False,0.88373,0.589153,2.88373,1,1
