year,start_equity,end_equity,return_pct,max_drawdown_pct,trades,win_rate_pct,pnl
2021,1000.0,1016.86,1.69,-2.16,2,0.0,-37.1
2022,1009.61,779.6,-22.78,-27.41,45,20.0,-196.26
2023,778.55,895.39,15.01,-7.13,15,26.7,-22.11
2024,889.16,975.51,9.71,-9.52,28,25.0,156.55
2025,969.4,792.18,-18.28,-26.14,31,19.4,-171.19
2026,796.04,843.37,5.95,-10.13,35,45.7,107.9
