symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
CAVA,momentum_breakout,breakout,2,2024-11-14,2024-11-15,137.88775,2024-12-10,133.376485,trailing_stop,0.6891593,0.6891593,False,,0.0,0.0,0.0,90.917645,2.0,1.0,96.026626,90.917645,25,131.306088,162.707545,0.0238660129,57.96,2.14,False,-5.108981,-5.320379,0
PCOR,momentum_breakout,breakout,2,2024-11-22,2024-11-25,77.497418,2024-12-19,76.643281,trailing_stop,1.73709148,1.73709148,False,,0.0,0.0,0.0,132.136391,2.0,1.0,135.620105,132.136391,24,73.259622,91.446953,0.0273415334,72.81,1.569,False,-3.483714,-2.56873,0
WDAY,momentum_breakout,breakout,2,2024-12-10,2024-12-11,273.883595,2025-01-02,260.419313,stop_loss,0.30456919,0.30456919,False,,0.0,0.0,0.0,78.315698,2.0,1.0,84.416504,78.315698,22,258.216453,323.182642,0.0286018274,58.67,1.55,False,-6.100806,-7.227029,0
RIVN,momentum_breakout,breakout,2,2025-01-03,2025-01-06,16.481465,2025-01-13,13.52646,stop_loss,4.87862373,4.87862373,False,,0.0,0.0,0.0,64.990509,2.0,1.0,81.406867,64.990509,7,14.142334,19.448129,0.0709624655,63.74,3.024,False,-16.416358,-20.165815,0
ANF,momentum_breakout,breakout,2,2024-12-20,2024-12-23,155.705553,2025-01-14,137.042813,trailing_stop,0.83586021,0.83586021,False,,0.0,0.0,0.0,113.548634,2.0,1.0,131.148076,113.548634,22,142.633496,183.732553,0.0419768478,56.34,1.523,False,-17.599442,-13.41952,0
OVV,momentum_breakout,breakout,2,2025-01-13,2025-01-14,42.433277,2025-02-03,39.80854,stop_loss,4.36601068,4.36601068,False,,0.0,0.0,0.0,172.804509,2.0,1.0,186.264139,172.804509,20,40.952067,50.071266,0.0174533976,64.84,1.745,False,-13.45963,-7.226099,0
AAL,momentum_breakout,breakout,2,2024-10-24,2024-10-25,12.95294,2025-02-04,16.73325,trailing_stop,14.56492726,7.28246363,True,2024-12-06,17.49249,7.28246363,126.388424,120.859285,3.0,1.0,189.658623,247.247708,102,12.26418,15.284469,0.0265869889,68.89,1.891,False,57.589086,30.364602,1
BIRK,momentum_breakout,breakout,2,2024-12-10,2024-12-11,54.524471,2025-02-04,56.223719,trailing_stop,3.84816658,3.84816658,False,,0.0,0.0,0.0,215.358235,2.0,1.0,210.819248,215.358235,55,52.35611,64.338876,0.0198842966,68.2,1.561,False,4.538988,2.153023,1
GLBE,momentum_breakout,breakout,2,2024-11-20,2024-11-21,48.5485,2025-02-20,50.339609,trailing_stop,4.09014532,2.04507266,True,2025-01-28,58.141801,2.04507266,117.904207,101.948159,3.0,1.0,199.57042,219.852366,91,45.403278,57.28723,0.0323925794,77.97,4.95,False,20.281946,10.162802,1
HUBS,momentum_breakout,breakout,2,2025-01-27,2025-01-28,767.086327,2025-02-24,730.51875,stop_loss,0.14469041,0.14469041,False,,0.0,0.0,0.0,104.699055,2.0,1.0,111.990033,104.699055,27,742.833826,905.161866,0.0158081954,63.3,2.499,False,-7.290978,-6.510381,0
ATI,momentum_breakout,breakout,2,2025-02-04,2025-02-05,64.234168,2025-02-24,58.42152,stop_loss,3.12437646,3.12437646,False,,0.0,0.0,0.0,181.530821,2.0,1.0,201.691723,181.530821,19,60.319336,75.796318,0.0304731325,65.41,3.114,False,-20.160903,-9.9959,0
