symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
RTX,momentum_breakout,breakout,3,2025-12-19,2025-12-22,181.078591,2026-03-30,190.865788,trailing_stop,0.82284713,0.82284713,False,,0.0,0.0,0.0,156.053367,2.0,1.0,150.0,156.053367,98,175.646233,213.672738,0.015,False,62.7,2.18,False,6.053367,4.035578,1
ABNB,mean_reversion,oversold+volume+sma_support,3,2026-02-12,2026-02-13,126.591461,2026-03-30,123.776102,trailing_stop,1.17701461,1.17701461,False,,0.0,0.0,0.0,144.68628,2.0,1.0,150.0,144.68628,45,121.401211,139.250607,0.0205,False,29.7,2.14,False,-5.31372,-3.54248,0
CVX,momentum_breakout,breakout,3,2026-03-13,2026-03-16,193.323297,2026-04-10,186.175413,stop_loss,0.77072967,0.77072967,False,,0.0,0.0,0.0,142.490914,2.0,1.0,150.0,142.490914,25,188.335556,228.12149,0.0129,False,73.4,2.3,True,-7.509086,-5.006057,0
COP,momentum_breakout,breakout,3,2026-03-20,2026-03-23,122.026812,2026-04-15,116.404572,trailing_stop,1.22104312,1.22104312,False,,0.0,0.0,0.0,141.135002,2.0,1.0,150.0,141.135002,23,118.048738,143.991638,0.0163,False,75.2,2.76,False,-8.864998,-5.909999,0
AEP,momentum_breakout,breakout,3,2026-04-30,2026-05-01,134.99128,2026-05-07,129.573676,stop_loss,1.103775,1.103775,False,,0.0,0.0,0.0,142.020185,2.0,1.0,150.0,142.020185,6,132.075468,159.28971,0.0108,False,61.8,1.52,False,-7.979815,-5.319877,0
NEE,momentum_breakout,breakout,3,2026-04-23,2026-04-24,95.908263,2026-05-08,92.409269,stop_loss,1.55356791,1.55356791,False,,0.0,0.0,0.0,142.564075,2.0,1.0,150.0,142.564075,14,92.570655,113.17175,0.0174,False,59.4,2.06,False,-7.435925,-4.957283,0
DDOG,momentum_breakout,breakout,3,2026-05-08,2026-05-11,196.456255,2026-06-02,263.98575,emotional_extreme,0.75843857,0.37921928,True,2026-06-01,251.523219,0.37921928,94.382455,99.108487,3.0,1.0,150.0,193.490942,22,168.04868,231.81838,0.0723,False,80.0,1.86,False,43.490942,28.993961,1
GOOGL,momentum_breakout,breakout,3,2026-04-30,2026-05-01,381.538378,2026-06-03,361.219888,stop_loss,0.39052428,0.39052428,False,,0.0,0.0,0.0,140.065136,2.0,1.0,150.0,140.065136,33,362.461459,450.215286,0.025,False,77.8,2.73,False,-9.934864,-6.623243,0
AMD,momentum_breakout,breakout,3,2026-04-16,2026-04-17,281.281,2026-06-08,484.515,trailing_stop,0.52971939,0.2648597,True,2026-04-27,345.973687,0.2648597,90.634485,127.328495,3.0,1.0,150.0,217.962981,52,261.985123,331.91158,0.0343,False,73.6,1.82,False,67.962981,45.308654,1
SMH,momentum_breakout,breakout,3,2026-05-07,2026-05-08,552.131597,2026-06-08,596.612812,trailing_stop,0.2698632,0.2698632,False,,0.0,0.0,0.0,160.003843,2.0,1.0,150.0,160.003843,31,530.267186,651.515285,0.0198,False,79.1,1.84,True,10.003843,6.669229,1
IBM,momentum_breakout,breakout,3,2026-06-02,2026-06-03,316.348961,2026-06-08,284.115452,stop_loss,0.47099886,0.47099886,False,,0.0,0.0,0.0,132.818054,2.0,1.0,150.0,132.818054,5,289.016411,373.291774,0.0432,False,77.4,1.52,False,-17.181946,-11.454631,0
CAT,momentum_breakout,breakout,3,2026-04-30,2026-05-01,896.07453,2026-07-08,934.838254,trailing_stop,0.16628081,0.08314041,True,2026-07-01,1030.97357,0.08314041,84.715561,76.722832,3.0,1.0,150.0,161.438393,68,844.281422,1057.367945,0.0289,False,71.5,2.29,False,11.438393,7.625595,1
PANW,momentum_breakout,breakout,3,2026-06-03,2026-06-04,270.129845,2026-07-09,318.021656,trailing_stop,0.55158659,0.27579329,True,2026-06-30,327.222438,0.27579329,89.245754,86.70824,3.0,1.0,150.0,175.953995,35,249.491925,318.753217,0.0382,False,79.9,1.77,True,25.953995,17.302663,1
MRNA,momentum_breakout,breakout,3,2026-06-17,2026-06-18,64.023959,2026-07-13,66.263672,trailing_stop,2.32725377,1.16362688,True,2026-07-06,78.471453,1.16362688,90.311492,76.10619,3.0,1.0,150.0,166.417682,25,58.108145,75.548272,0.0462,False,65.9,2.07,False,16.417682,10.945122,1
GS,momentum_breakout,breakout,3,2026-07-14,2026-07-15,1143.965787,2026-07-20,1068.343021,stop_loss,0.13024865,0.13024865,False,,0.0,0.0,0.0,138.150237,2.0,1.0,150.0,138.150237,5,1084.250773,1349.879629,0.0261,False,63.8,1.73,False,-11.849763,-7.899842,0
BRK-B,momentum_breakout,breakout,3,2026-07-28,2026-07-29,511.951442,2026-08-18,500.538969,stop_loss,0.29104323,0.29104323,False,,0.0,0.0,0.0,144.678477,2.0,1.0,150.0,144.678477,20,501.405243,604.102702,0.0103,False,61.8,1.54,False,-5.321523,-3.547682,0
MET,momentum_breakout,breakout,3,2026-07-30,2026-07-31,96.608583,2026-08-21,94.105797,stop_loss,1.54230604,1.54230604,False,,0.0,0.0,0.0,144.139939,2.0,1.0,150.0,144.139939,21,94.135403,113.998127,0.0128,False,73.7,1.57,False,-5.860061,-3.906708,0
RTX,momentum_breakout,breakout,3,2026-07-27,2026-07-28,220.478575,2026-08-24,209.79,stop_loss,0.67580263,0.67580263,False,,0.0,0.0,0.0,140.776633,2.0,1.0,150.0,140.776633,27,211.130284,260.164719,0.0212,False,75.5,1.72,False,-9.223367,-6.148911,0
LLY,momentum_breakout,breakout,3,2026-08-19,2026-08-20,1275.404135,2026-08-27,1181.06775,stop_loss,0.11682572,0.11682572,False,,0.0,0.0,0.0,136.979084,2.0,1.0,150.0,136.979084,7,1212.909332,1504.976879,0.0245,False,61.9,1.63,False,-13.020916,-8.68061,0
