year,start_equity,end_equity,return_pct,max_drawdown_pct,trades,win_rate_pct,pnl
2021,1000.0,1023.24,2.32,-3.57,4,25.0,-33.25
2022,1026.29,774.79,-24.51,-26.85,45,22.2,-215.82
2023,773.32,735.47,-4.89,-16.43,24,20.8,-97.12
2024,720.24,890.95,23.7,-7.73,19,52.6,174.9
2025,891.41,841.2,-5.63,-17.22,34,26.5,-37.9
2026,851.37,915.35,7.51,-9.61,24,41.7,131.73
